Kinase	norm.ANID	norm.ATHA	norm.CALB	norm.CCIN	norm.CNEO	norm.DDIS	norm.HSAP	norm.MBRE	norm.NCRA	norm.NIRR	norm.PCON	norm.PGRA	norm.PJIR	norm.SCER	norm.SCOMP	norm.SCRY	norm.SJAP	norm.SOCT	norm.SPOM	norm.TDEF	norm.TMEL	norm.UMAY	norm.YLIP
TTK protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	8.12E-05	4.38E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
AGC/RSK/MSK protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/CDK5 protein kinase	0.000185684	0	0.000160746	7.50E-05	0.000143369	0	4.38E-05	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0	0.000195618	0	0.000133404	0.000147341	0.000155087
AGC/DMPK/GEK protein kinase	0	0	0	7.50E-05	0	0	0.000175285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/FRAY protein kinase	0	0.000255325	0	0	0.000143369	0.000162364	8.76E-05	0.000108743	0	0	0	6.32E-05	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/CRK7 protein kinase	9.28E-05	0.000656551	0.000160746	7.50E-05	0.000143369	0	8.76E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000568505	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
CAMK/PHK protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/BCR protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	6.32E-05	0	0	0	0	0	0	0	0	0	0	0
PLK/PLK1 protein kinase	0	0	0	0	0.000143369	0	4.38E-05	0	0	0	0	6.32E-05	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/MST protein kinase	0	3.65E-05	0	0	0	0.000243546	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/RCK/MAK protein kinase	9.28E-05	0.000109425	0.000160746	0	0	8.12E-05	8.76E-05	0.000108743	0.00010248	0.000149835	7.48E-05	0	0.000284252	0	0.000142167	0.000387372	0.00020496	0.000200521	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
TKL/STKR protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/MAST protein kinase	0	0.000109425	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/MLK/MLK protein kinase	0	0	0	0	0	0	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE11/SSK protein kinase	9.28E-05	0	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0.000339732	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
CMGC/CDK/CDK4 protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/PKD protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE11/MEKK4 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMKL/NIM1 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMK1/CAMK1-CMK protein kinase	9.28E-05	0	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0	0	0	0	0.000216967	0.000133404	0.000147341	0.000155087
AGC/RSK/RSKP70 protein kinase	9.28E-05	0	0.000160746	0	0	0	8.76E-05	0.000108743	0.00010248	0	0	0	0	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0	0
CAMK/CAMKL/MELK protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK/PLK2 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGK071 protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK protein kinase	9.28E-05	0	0.000160746	7.50E-05	0	8.12E-05	4.38E-05	0	0.00010248	0.000149835	7.48E-05	0	0.000568505	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
NKF1 protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/PKN protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/PIM protein kinase	0	0	0	0	0	0	0.000175285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/MAPKAPK/MK2 protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
